策略,使用预报时刻,计划购电量(kWh),最终购电量(kWh),增加购电量(kWh),减少购电量(kWh),紧急购电量(kWh),计划购电费(元),调整后购电结算费(元),紧急购电费(元),总购电费(元),相对仅0点策略节省(元),相对仅0点策略节省率
S0_仅0点,0:00,22506985.397707,22506985.397707,0.000000,0.000000,364149.248725,14515487.637485,14515487.637485,1530215.791249,16045703.428735,0.000000,0.00000000%
S1_增加6点,0:00/6:00,22519655.328772,22109970.225242,416735.779535,826420.883065,265213.194002,14516733.427068,14678545.784577,1111631.753652,15790177.538229,255525.890506,1.59248793%
S2_增加12点,0:00/6:00/12:00,22523967.626531,21832450.515047,354421.271033,1045938.382517,225905.926244,14513973.279049,14557299.674837,931389.034961,15488688.709798,557014.718936,3.47142599%
S3_完整MPC,0:00/6:00/12:00/18:00,22507230.220347,21883202.161464,508578.188535,1132606.247418,229382.959666,14503187.261174,14788586.441679,919622.284705,15708208.726384,337494.702350,2.10333379%
