日期,数据集,实际均价,正式模型预测均价,实验模型预测均价,正式模型MAPE,实验模型MAPE
2025-03-18,训练集,0.77601667,0.73640349,0.76390751,0.10133264,0.05485709
2025-03-19,测试集,0.77183819,0.76175611,0.76775003,0.07177350,0.05488610
2025-03-20,训练集,0.77863819,0.73893661,0.76228697,0.10947802,0.06165606
2025-03-21,训练集,0.57029028,0.73062805,0.71518612,0.38219704,0.33587853
2025-03-22,训练集,0.58738819,0.63429362,0.64055424,0.14217610,0.13961170
2025-03-23,验证集,0.76717847,0.66921445,0.70477283,0.13884617,0.09123554
2025-03-24,训练集,0.76748611,0.71121028,0.75132020,0.11733959,0.06409770
2025-03-25,测试集,0.77127569,0.74583106,0.75271827,0.06349061,0.04930805
2025-03-26,训练集,0.75661111,0.71361317,0.73938011,0.10188168,0.06803991
2025-03-27,训练集,0.76641597,0.74266439,0.74807391,0.07749521,0.05460684
2025-03-28,训练集,0.57476806,0.70982787,0.68972518,0.33400174,0.28283438
2025-03-29,验证集,0.56308681,0.62872725,0.63580540,0.20412163,0.20450493
2025-03-30,训练集,0.75202708,0.71224155,0.74156492,0.10792329,0.06247708
2025-03-31,测试集,0.76070417,0.73707630,0.74578549,0.07349833,0.05651632
2025-04-01,训练集,0.77310903,0.71388133,0.73288132,0.12477076,0.08206918
2025-04-02,训练集,0.77232014,0.74613426,0.74712112,0.07617498,0.06024917
2025-04-03,训练集,0.76446389,0.75376063,0.75884907,0.08001212,0.06553876
2025-04-04,验证集,0.55950278,0.70920609,0.68232048,0.34620775,0.27660700
2025-04-05,训练集,0.57552847,0.71147692,0.67348668,0.32499036,0.22054866
2025-04-06,测试集,0.75568681,0.66038725,0.69273320,0.13458567,0.09618474
2025-04-07,训练集,0.75171597,0.71377449,0.72540073,0.09923606,0.06648232
2025-04-08,训练集,0.75191597,0.74294150,0.74475997,0.07716447,0.06424870
2025-04-09,训练集,0.76627083,0.74382586,0.74018345,0.08065746,0.06831647
2025-04-10,验证集,0.75802708,0.75412202,0.75182343,0.06919391,0.06318417
2025-04-11,训练集,0.55147847,0.70539273,0.66856788,0.39913695,0.29018855
2025-04-12,测试集,0.56386736,0.59469898,0.61677360,0.11794151,0.13676357
2025-04-13,训练集,0.75625486,0.70726746,0.71733023,0.11455263,0.07262388
2025-04-14,训练集,0.74659722,0.74736296,0.74624026,0.06650162,0.05847922
2025-04-15,训练集,0.73853264,0.74262982,0.74055315,0.07169152,0.06558639
2025-04-16,验证集,0.76235417,0.73713299,0.74126625,0.07665552,0.05883893
2025-04-17,训练集,0.74776736,0.72387613,0.73501558,0.10364351,0.05765050
2025-04-18,测试集,0.55942014,0.70665604,0.66761186,0.30930397,0.22530685
2025-04-19,训练集,0.55797639,0.70812048,0.68519246,0.37318740,0.30027914
2025-04-20,训练集,0.74543889,0.60509041,0.68320967,0.19496336,0.09296963
2025-04-21,训练集,0.73395208,0.73195970,0.73206523,0.06731385,0.06067653
2025-04-22,验证集,0.75095833,0.72655528,0.73304406,0.07555970,0.05905958
2025-04-23,训练集,0.74791250,0.71642300,0.73218897,0.10111696,0.06486297
2025-04-24,测试集,0.73618472,0.73666602,0.73252021,0.07168009,0.05672335
2025-04-25,训练集,0.54069167,0.69764915,0.67400110,0.41735036,0.33690319
2025-04-26,训练集,0.53780486,0.58758431,0.60910876,0.33774633,0.37057463
2025-04-27,训练集,0.73378264,0.60856765,0.66947569,0.18170195,0.09463308
2025-04-28,验证集,0.76605208,0.71256105,0.72125944,0.09735611,0.08442635
2025-04-29,训练集,0.73038264,0.68436276,0.70737690,0.11983612,0.07447587
2025-04-30,测试集,0.72944236,0.71694005,0.72033490,0.07671057,0.06108736
2025-05-01,训练集,0.74732639,0.68839618,0.69977376,0.11499703,0.08393214
2025-05-02,训练集,0.58695139,0.69009515,0.64990269,0.21390074,0.14075801
2025-05-03,训练集,0.56982431,0.61787770,0.61439682,0.15256461,0.12365991
2025-05-04,验证集,0.74612847,0.64356188,0.68676754,0.14650691,0.09413118
2025-05-05,训练集,0.76046111,0.67182207,0.69706741,0.14035635,0.09402892
2025-05-06,测试集,0.75323611,0.72509172,0.71618574,0.07062254,0.07010805
2025-05-07,训练集,0.75872917,0.68239622,0.69173160,0.11837890,0.09767557
2025-05-08,训练集,0.76165903,0.72752012,0.72650440,0.08525713,0.06732803
2025-05-09,训练集,0.56673819,0.69891398,0.66088808,0.30271635,0.21703765
2025-05-10,验证集,0.57530764,0.61472671,0.59776030,0.14766096,0.09588966
2025-05-11,训练集,0.76078194,0.68836319,0.69556055,0.13141047,0.10180193
2025-05-12,测试集,0.75178819,0.73087325,0.73052448,0.07723281,0.06255329
2025-05-13,训练集,0.75644583,0.69530387,0.69416014,0.11299187,0.09993929
2025-05-14,训练集,0.74755139,0.73115183,0.72906195,0.07731404,0.05634041
2025-05-15,训练集,0.75277708,0.73117516,0.72612675,0.07113508,0.06340070
2025-05-16,验证集,0.54538542,0.69641447,0.64795624,0.42051927,0.29139043
2025-05-17,训练集,0.57341597,0.69350343,0.64784042,0.26873801,0.16068707
2025-05-18,测试集,0.75068125,0.65858561,0.69114655,0.13199054,0.09017618
2025-05-19,训练集,0.73175972,0.70011424,0.71409530,0.10561282,0.07080753
2025-05-20,训练集,0.75658194,0.72354440,0.72341231,0.08212077,0.07661295
2025-05-21,训练集,0.74582431,0.74035800,0.73575243,0.08288135,0.06356860
2025-05-22,验证集,0.74619306,0.73623475,0.73605363,0.06426380,0.05701874
2025-05-23,训练集,0.55697431,0.69399412,0.66366760,0.34193739,0.25220411
2025-05-24,测试集,0.55320486,0.60031249,0.61820110,0.16024655,0.18464780
2025-05-25,训练集,0.73796181,0.69929324,0.71321310,0.09784157,0.07497281
2025-05-26,训练集,0.75247222,0.72768328,0.72942712,0.07977085,0.06960102
2025-05-27,训练集,0.74292153,0.74380088,0.73851268,0.08036614,0.06880685
2025-05-28,验证集,0.75126736,0.73511002,0.73397048,0.07893028,0.06964841
2025-05-29,训练集,0.75951250,0.71757577,0.72804121,0.10855389,0.07714095
2025-05-30,测试集,0.56099306,0.71491747,0.66940896,0.46279659,0.33862774
2025-05-31,训练集,0.56635486,0.70506605,0.68080668,0.34683638,0.27277183
2025-06-01,训练集,0.81918056,0.61890387,0.68789106,0.25162460,0.16846898
2025-06-02,训练集,0.80994583,0.76100057,0.74377724,0.09854508,0.09907393
2025-06-03,验证集,0.80628264,0.76897890,0.75427214,0.07299400,0.08046455
2025-06-04,训练集,0.81365903,0.73088018,0.73051223,0.12828030,0.11366521
2025-06-05,测试集,0.82206944,0.77802197,0.75702031,0.07635824,0.09181485
2025-06-06,训练集,0.64928264,0.72189968,0.68849223,0.16371191,0.10307317
2025-06-07,训练集,0.65028819,0.66805325,0.65469120,0.09124706,0.06708550
2025-06-08,训练集,0.79707917,0.70884195,0.73616304,0.12146449,0.08867362
2025-06-09,验证集,0.81925625,0.76825645,0.75881069,0.08591002,0.08719492
2025-06-10,训练集,0.81681806,0.73024770,0.73446810,0.12927323,0.10611977
2025-06-11,测试集,0.83169653,0.78896088,0.77484897,0.07982721,0.08178112
2025-06-12,训练集,0.82198333,0.74211400,0.73930222,0.12892239,0.11675719
2025-06-13,训练集,0.64002917,0.76158833,0.71452502,0.22499592,0.14187558
2025-06-14,训练集,0.63686736,0.68482689,0.67578763,0.12418296,0.09779213
2025-06-15,验证集,0.81782708,0.71271731,0.74594262,0.13523127,0.09049207
2025-06-16,训练集,0.82324167,0.73144738,0.74982657,0.13394493,0.09779036
2025-06-17,测试集,0.82862639,0.78142018,0.76622448,0.08796125,0.08603100
2025-06-18,训练集,0.82005000,0.74451368,0.75637743,0.11724888,0.08848839
2025-06-19,训练集,0.80791042,0.78375490,0.77619412,0.06261975,0.05525991
2025-06-20,训练集,0.62130694,0.74941132,0.71991702,0.24613084,0.18634181
2025-06-21,验证集,0.60952569,0.68388739,0.67241824,0.18743579,0.15783458
2025-06-22,训练集,0.80749167,0.74855277,0.76295213,0.10766751,0.07510044
2025-06-23,测试集,0.80487222,0.78074324,0.78547349,0.07179972,0.05246958
2025-06-24,训练集,0.84053472,0.75650038,0.76628803,0.12623446,0.09515322
2025-06-25,训练集,0.81634653,0.79416468,0.79017403,0.07529174,0.05513239
2025-06-26,训练集,0.80597431,0.79193600,0.78815486,0.07589402,0.06306616
2025-06-27,验证集,0.60512014,0.75426552,0.71011904,0.31862476,0.22649872
2025-06-28,训练集,0.62298889,0.75839177,0.72234265,0.29663868,0.21701370
2025-06-29,测试集,0.81182708,0.72354125,0.75701742,0.12672907,0.07833573
2025-06-30,训练集,0.81018819,0.76261106,0.77598452,0.10629085,0.06638945
2025-07-01,训练集,0.89076181,0.79719945,0.79628126,0.11174429,0.10616559
2025-07-02,训练集,0.87532153,0.84737735,0.81617903,0.07476270,0.09195266
2025-07-03,验证集,0.90143611,0.84655175,0.82288901,0.07252418,0.08772433
2025-07-04,训练集,0.69030833,0.77379209,0.73052707,0.30921724,0.23940627
2025-07-05,测试集,0.68431875,0.70587760,0.70788879,0.09756363,0.10712053
2025-07-06,训练集,0.89867083,0.78476887,0.78553927,0.13301601,0.12139959
2025-07-07,训练集,0.87739028,0.86837795,0.83857749,0.05924593,0.06892511
