数据集,开始日期,结束日期,天数,负荷MAE(kW),负荷RMSE(kW),负荷R2,光伏MAE(kW),光伏RMSE(kW),光伏R2,净负荷MAE(kW),净负荷RMSE(kW),计划购电量(kWh),紧急购电量(kWh),紧急购电占比,计划购电费(元),紧急购电费(元),总购电费(元)
训练集,2025-01-01,2025-12-31,244,277.2480880039648,401.324152375634,0.9192677164814878,181.11145918813534,346.7050078928832,0.9861247988545628,359.84359853758394,533.433809110957,16944455.37132468,373511.6556132076,0.02156786966000194,10440677.418606082,1477316.8944759048,11917994.313081987
验证集,2025-01-04,2025-12-30,61,258.9597002385799,386.31394345051336,0.9254661698742843,179.69332262967822,337.98613632339595,0.9870016549401697,346.89324689965906,498.4280502500102,4253733.692962031,52174.97345302856,0.012117064595442876,2621447.4698004415,206189.64103603206,2827637.1108364738
测试集,2025-01-06,2025-12-26,60,261.81061881496515,380.92754162403884,0.9264365843972789,178.1038406428485,324.5036045778151,0.9879318345311874,352.50639495410974,512.756336524999,4129081.583996067,71598.32342656706,0.017044460659821348,2538531.5788373984,278022.46604104113,2816554.0448784395
