策略,使用预报时刻,计划购电量(kWh),最终购电量(kWh),增加购电量(kWh),减少购电量(kWh),紧急购电量(kWh),计划购电费(元),调整后购电结算费(元),紧急购电费(元),总购电费(元),相对仅0点策略节省(元),相对仅0点策略节省率
S0_仅0点,0:00,22526905.625939,22526905.625939,0.000000,0.000000,364149.248725,13812090.015089,13812090.015089,1417968.485395,15230058.500485,0.000000,0.00000000%
S1_增加6点,0:00/6:00,22534914.779893,22139589.357206,414593.083900,809918.506587,264907.606433,13814261.168767,13951698.723795,1024033.295783,14975732.019578,254326.480906,1.66989825%
S2_增加12点,0:00/6:00/12:00,22536064.693685,21854821.629304,345204.409908,1026447.474288,225453.012114,13814754.897443,13817085.505833,865501.438536,14682586.944370,547471.556115,3.59467796%
S3_完整MPC,0:00/6:00/12:00/18:00,22523104.690843,21912962.831512,492426.226389,1102568.085720,228864.352538,13812077.203032,14043840.335794,883830.498308,14927670.834102,302387.666383,1.98546622%
