日期,MAE(元/kWh),RMSE(元/kWh),MAPE,前日偏差权重,实际均价(元/kWh),预测均价(元/kWh)
2025-11-05,0.03843233,0.04764206,5.38920839%,0.40196205,0.80895556,0.78119469
2025-11-06,0.04894622,0.06193457,6.39406186%,0.41473121,0.81506736,0.78263265
2025-11-07,0.08192362,0.09962169,16.72714295%,0.00000000,0.61553403,0.69431611
2025-11-08,0.04357208,0.05589017,8.46818502%,0.40826892,0.61734097,0.65171252
2025-11-09,0.06856532,0.08234262,8.92591215%,0.00000000,0.81031736,0.75133751
2025-11-10,0.04219061,0.05200232,6.36855561%,0.39987225,0.81897292,0.79474882
2025-11-11,0.03719608,0.04845233,5.29764497%,0.41534531,0.81385903,0.79367091
2025-11-12,0.03568394,0.04351177,5.10903243%,0.42509463,0.81239514,0.79899679
2025-11-13,0.05819808,0.07215559,7.77066117%,0.00000000,0.81853611,0.77180105
2025-11-14,0.10032538,0.11504517,17.80385859%,0.41269216,0.62907847,0.72940386
2025-11-15,0.10325633,0.12020006,18.39362219%,0.00000000,0.62876806,0.72949257
2025-11-16,0.08880891,0.10828127,10.53056601%,0.41029778,0.82057986,0.73563663
2025-11-17,0.03795511,0.04722201,5.39174328%,0.34553571,0.81585486,0.79974838
2025-11-18,0.04560167,0.06085274,6.26528711%,0.35564552,0.82191250,0.79634184
2025-11-19,0.05744800,0.06929035,7.60839661%,0.00000000,0.82901389,0.78343562
2025-11-20,0.04213420,0.05373328,5.60669666%,0.34645012,0.82117917,0.80233296
2025-11-21,0.10502598,0.12200742,19.12786876%,0.00000000,0.63263403,0.73706703
2025-11-22,0.04456920,0.05480217,9.22474065%,0.33567251,0.63667500,0.67187823
2025-11-23,0.08024938,0.09635756,9.90983896%,0.35949655,0.82649444,0.74869032
2025-11-24,0.03861305,0.04931196,5.12365950%,0.32606839,0.82105069,0.80274530
2025-11-25,0.05823556,0.07464466,7.51687945%,0.00000000,0.82412431,0.77720389
2025-11-26,0.04531233,0.05752523,5.98946317%,0.35447683,0.82993403,0.80191139
2025-11-27,0.06341069,0.08281856,7.94375603%,0.00000000,0.82856389,0.77631021
2025-11-28,0.09982344,0.11330667,18.17874830%,0.35361402,0.63402431,0.73303596
2025-11-29,0.04814775,0.06004585,8.56292905%,0.31792883,0.65043819,0.68416815
2025-11-30,0.07976673,0.09621186,9.51491118%,0.34005326,0.83959931,0.76347809
2025-12-01,0.13637744,0.17595201,14.24839947%,0.00000000,0.90760556,0.77520508
2025-12-02,0.09414928,0.12124500,9.92485580%,0.30002817,0.91531389,0.82387561
2025-12-03,0.13902444,0.17654380,14.48754872%,0.00000000,0.91203264,0.77679491
2025-12-04,0.07420256,0.10128605,7.80045451%,0.34524006,0.90508542,0.83846260
2025-12-05,0.06979388,0.08559374,12.15087928%,0.43865388,0.71717708,0.77700011
2025-12-06,0.04933884,0.06710134,6.80344658%,0.41693883,0.72719653,0.71067549
2025-12-07,0.12249217,0.15863613,12.65678489%,0.00000000,0.91010833,0.79244101
2025-12-08,0.04645733,0.05908328,5.62984695%,0.46045351,0.90851528,0.87610349
2025-12-09,0.10978539,0.14149730,11.22186177%,0.00000000,0.90577708,0.80077257
2025-12-10,0.05223391,0.06713233,6.00947580%,0.44030426,0.91615903,0.87709776
2025-12-11,0.04087706,0.05333856,5.15300651%,0.47678508,0.89763403,0.87497005
2025-12-12,0.06784575,0.08083007,10.84954400%,0.49566328,0.72377986,0.78166832
2025-12-13,0.06713874,0.08358050,10.00789668%,0.00000000,0.72969653,0.76002005
2025-12-14,0.09801807,0.11621757,10.39680095%,0.48564175,0.92073750,0.82557531
2025-12-15,0.07668822,0.09567221,8.48710222%,0.00000000,0.91444028,0.84797953
2025-12-16,0.03875516,0.05091462,4.53703438%,0.51629280,0.91091389,0.88517840
2025-12-17,0.03312595,0.04019416,4.50801058%,0.53151981,0.90880972,0.90260194
2025-12-18,0.04566268,0.05779344,5.69818593%,0.53480297,0.90947778,0.88488486
2025-12-19,0.07702828,0.09345147,12.83014592%,0.00000000,0.72509444,0.79294811
2025-12-20,0.04587659,0.05730601,7.83035013%,0.51868568,0.71897083,0.75439445
2025-12-21,0.05900577,0.07509427,6.85634194%,0.00000000,0.91007639,0.86540433
2025-12-22,0.02992990,0.04006351,3.83217437%,0.51463198,0.91928542,0.90723705
2025-12-23,0.03516019,0.04595413,4.53017721%,0.51895080,0.91268889,0.90417095
2025-12-24,0.03245741,0.04110395,4.33097679%,0.52363665,0.90826528,0.90523416
2025-12-25,0.05123658,0.06753255,6.71852433%,0.00000000,0.91025208,0.88320742
2025-12-26,0.11255678,0.13009478,17.60766738%,0.52074069,0.72377500,0.83448619
2025-12-27,0.12046209,0.13755881,19.79559741%,0.00000000,0.72122778,0.84084484
2025-12-28,0.08658282,0.10132170,9.97295823%,0.51328032,0.90589167,0.82227678
2025-12-29,0.03395074,0.04452182,4.31035410%,0.45875991,0.90653125,0.89865590
2025-12-30,0.03630650,0.04550225,4.80403908%,0.46080320,0.90045833,0.89774752
2025-12-31,0.04930595,0.06347243,6.12771950%,0.00000000,0.91024375,0.88580526
