新增预报时刻,原策略,新策略,测试集边际费用节省(元),边际费用节省率(%),紧急购电减少量(kWh),是否建议引入
6:00,S0_仅0点,S1_增加6点,67838.0794984675,2.3919852857555397,25960.6527464521,是
12:00,S1_增加6点,S2_增加12点,60314.61422870448,2.1788234163856663,7911.02109687942,是
18:00,S2_增加12点,S3_完整MPC,-74455.21767254267,-2.749550718601873,-7341.30763703386,否
