对象,数据集,模型,样本数,MAE,RMSE,MAPE(%),WMAPE(%),R2
实时电价预测,训练集,典型日静态基准,35136,0.09934375569216758,0.13411504499177798,15.286708212220773,12.9333102116233,0.8457493235462357
实时电价预测,训练集,前一日持续性基准,35136,0.08469492258652095,0.12466148376957883,13.482252425211843,11.026215986388952,0.8667286915952581
实时电价预测,训练集,历史加权轮廓,35136,0.0770267910239263,0.10105969850653695,12.26964078643519,10.027921493176075,0.912415334727194
实时电价预测,训练集,仅傅里叶周期项,35136,0.11000038985261419,0.14188543569256798,17.74878739755288,14.320670236906746,0.8273575008114924
实时电价预测,训练集,傅里叶+小波,35136,0.09927780549803701,0.12929294790996584,15.94001218951629,12.92472432403264,0.8566420595148185
实时电价预测,训练集,增加前日偏差修正,35136,0.09052691075388294,0.1208756080698438,14.515574282909238,11.785467653426096,0.8747004758491292
实时电价预测,训练集,完整模型（含贝叶斯更新）,35136,0.07231709102510389,0.09727090243136187,11.537041847723874,9.41477766079271,0.9188594460844003
实时电价预测,验证集,典型日静态基准,8784,0.09925031876138435,0.1342374931677026,16.07323579436374,13.01778565461388,0.8441910928129988
实时电价预测,验证集,前一日持续性基准,8784,0.08408556466302368,0.12331782613705693,13.667878475270582,11.028759112220607,0.8685089069375422
实时电价预测,验证集,历史加权轮廓,8784,0.07124204083226335,0.09342068922943064,11.903489577164919,9.344187794311507,0.9245375764172322
实时电价预测,验证集,仅傅里叶周期项,8784,0.10609409618607299,0.13675091846761162,17.72207788387769,13.915423351845588,0.8383018248306422
实时电价预测,验证集,傅里叶+小波,8784,0.09533212168028109,0.12363335335732048,15.886373478079813,12.503870431057123,0.8678351665978865
实时电价预测,验证集,增加前日偏差修正,8784,0.07401665695360961,0.09937115998993397,12.42912315761374,9.708109627432862,0.9146181945541505
实时电价预测,验证集,完整模型（含贝叶斯更新）,8784,0.06099664434942303,0.0818472242109509,10.113121580368285,8.00038983955832,0.9420768028413655
实时电价预测,测试集,典型日静态基准,8640,0.09767304398148148,0.13212908791724323,15.473918731399513,12.814511802911147,0.8470961820498215
实时电价预测,测试集,前一日持续性基准,8640,0.08525052083333334,0.12448640422474076,13.77007472126293,11.184701130336402,0.8642732966453863
实时电价预测,测试集,历史加权轮廓,8640,0.07547100904451615,0.09786236302327367,12.172038987866605,9.901648364332026,0.9161210757572746
实时电价预测,测试集,仅傅里叶周期项,8640,0.1073795240572151,0.13927575231253597,17.585999709320035,14.087982951397041,0.830108175004795
实时电价预测,测试集,傅里叶+小波,8640,0.09717003608969768,0.1265735588247014,15.843191168900997,12.74851815406528,0.8596839217516535
实时电价预测,测试集,增加前日偏差修正,8640,0.07574819267026786,0.10166150608880295,12.262907295501988,9.938014312386665,0.9094820865639706
实时电价预测,测试集,完整模型（含贝叶斯更新）,8640,0.06426682858940287,0.0860158984262845,10.35193063123082,8.43168186353149,0.9351994166857587
