对象,数据集,模型,样本数,MAE,RMSE,MAPE(%),WMAPE(%),R2
负荷预测,训练集,典型日静态基准,35136,791.893295955715,1015.5158900187747,19.202093628128335,17.062463376348532,0.4830719616313305
负荷预测,训练集,前一日持续性基准,35136,648.7373661771403,1126.7780464607958,15.509289003608298,13.97796598076678,0.36359527390069635
负荷预测,训练集,仅历史加权轮廓,35136,660.865100197371,829.7563048997841,16.1468812319722,14.239275198328153,0.6548898244287408
负荷预测,训练集,去除周期回归,35136,664.2317292120788,833.7258181823084,16.221057614760063,14.311813991822897,0.6515799460191984
负荷预测,训练集,去除小波修正,35136,397.048469376511,520.1094027328006,9.092847715154525,8.55497199177049,0.8644042577174083
负荷预测,训练集,去除贝叶斯更新,35136,436.48175926021645,560.9066215992787,10.541939956883045,9.404618109354603,0.8422977911080639
负荷预测,训练集,完整模型,35136,277.2480880039648,401.324152375634,6.683729489462207,5.973702987371736,0.9192677164814878
负荷预测,验证集,典型日静态基准,8784,801.129481215847,1029.011750869847,19.64907262495266,17.422875741682454,0.47117334116279297
负荷预测,验证集,前一日持续性基准,8784,641.9989260815119,1117.3414254687536,15.742976562952196,13.962121951168191,0.3764884928311337
负荷预测,验证集,仅历史加权轮廓,8784,586.6430317470323,740.6424324089785,14.588255395466307,12.758248056656637,0.7260383006777702
负荷预测,验证集,去除周期回归,8784,590.7529607258344,745.3092768976084,14.686315308371379,12.847630339525736,0.7225749162727024
负荷预测,验证集,去除小波修正,8784,383.0308742041647,507.9040414598319,8.916340759167962,8.33011327502144,0.8711643630090717
负荷预测,验证集,去除贝叶斯更新,8784,402.7139653328235,526.0971083280571,9.94065315689103,8.758178973498008,0.8617693018986069
负荷预测,验证集,完整模型,8784,258.9597002385799,386.31394345051336,6.393364636973682,5.631827045626475,0.9254661698742843
负荷预测,测试集,典型日静态基准,8640,793.4156979050925,1020.4597576923613,19.62238946120977,17.27467668058481,0.47207904212413154
负荷预测,测试集,前一日持续性基准,8640,673.7172881481481,1155.0503025174894,16.319836415322314,14.66853801558109,0.3236384134884557
负荷预测,测试集,仅历史加权轮廓,8640,633.8708431903066,793.8602474586214,15.718065838973263,13.80097961544496,0.6805041302885071
负荷预测,测试集,去除周期回归,8640,637.3410422830649,798.023758372795,15.796193358815906,13.876534671266187,0.6771440607573329
负荷预测,测试集,去除小波修正,8640,383.5651472865886,501.85540939554613,8.94096725826225,8.351188315043018,0.8723166239802838
负荷预测,测试集,去除贝叶斯更新,8640,424.9727448187755,545.5389844830308,10.464050417629622,9.252736975319051,0.8491210268654247
负荷预测,测试集,完整模型,8640,261.81061881496515,380.92754162403884,6.479772671969979,5.700282718773932,0.9264365843972789
光伏预测（有效发电时段）,训练集,典型日静态基准,18074,849.072183030873,1011.1948519643672,346.5615981890416,18.932139299491908,0.8554612654447538
光伏预测（有效发电时段）,训练集,前一日持续性基准,18074,354.7790595772933,523.953793454255,16.75405330112417,7.910666149118007,0.9611938528370751
光伏预测（有效发电时段）,训练集,历史加权轮廓,18074,354.3964213771159,488.15693291343996,37.52123122730486,7.90213429534651,0.9663152389036882
光伏预测（有效发电时段）,训练集,截断正弦完整模型,18074,349.71984884350104,482.02645666116666,43.081400686306125,7.797858682012283,0.9671559806210787
光伏预测（有效发电时段）,验证集,典型日静态基准,4522,858.688842923485,1026.8558240075545,327.9609660967786,19.043198943815046,0.8536763888090148
光伏预测（有效发电时段）,验证集,前一日持续性基准,4522,352.0525914418399,516.1603828046966,8.938332355110317,7.8074934742222855,0.9630286928992291
光伏预测（有效发电时段）,验证集,历史加权轮廓,4522,352.59211342952506,477.73219843893185,25.000018483029006,7.819458488826496,0.9683288016892841
光伏预测（有效发电时段）,验证集,截断正弦完整模型,4522,347.3932545832459,470.266860401943,30.76757098703026,7.704163054273692,0.969310895227146
光伏预测（有效发电时段）,测试集,典型日静态基准,4455,867.5193399999999,1031.683614964388,294.06607935733643,19.2679634578845,0.850162208848973
光伏预测（有效发电时段）,测试集,前一日持续性基准,4455,332.3315205611672,486.36446723059555,8.387202604987538,7.381220566305486,0.9666994065319527
光伏预测（有效发电时段）,测试集,历史加权轮廓,4455,344.7241985919899,454.41434745384356,21.920131342138973,7.656467072559997,0.9709308477818615
光伏预测（有效发电时段）,测试集,截断正弦完整模型,4455,343.93930273448944,451.4409628061377,28.377715797776006,7.639034210832022,0.9713100214981543
净负荷预测,训练集,典型日静态基准,35136,910.0261784380693,1260.5201901025328,142.6565078918054,29.973854092272173,0.7302122268755573
净负荷预测,训练集,前一日持续性基准,35136,744.1814783697632,1195.8025784883325,143.4724315197409,24.511368551080302,0.7572039472494155
净负荷预测,训练集,仅历史轮廓,35136,684.9697199340046,899.702417559621,125.20075692744457,22.561089921792412,0.8625576963304955
净负荷预测,训练集,完整模型,35136,359.84359853758394,533.433809110957,70.7281975061404,11.85229587253871,0.9516848061244779
净负荷预测,验证集,典型日静态基准,8784,907.4556676457195,1267.4945297418524,104.30349724320504,30.154586335753493,0.7321419640292548
净负荷预测,验证集,前一日持续性基准,8784,743.5065884790528,1179.7236815567308,93.96844871240697,24.70658833577995,0.7679545336702179
净负荷预测,验证集,仅历史轮廓,8784,624.9239535432246,825.9777567191874,75.89831609695182,20.766109003747612,0.8862505784222459
净负荷预测,验证集,完整模型,8784,346.89324689965906,498.4280502500102,43.78627856074277,11.527199328716392,0.958579299113785
净负荷预测,测试集,典型日静态基准,8640,911.6807504976852,1266.9150275605834,135.81750501453175,30.330618700794915,0.7302664140647634
净负荷预测,测试集,前一日持续性基准,8640,752.9833582407407,1189.6891350400824,138.2441114923981,25.05093050870767,0.7621478717938508
净负荷预测,测试集,仅历史轮廓,8640,673.3817526559865,880.1098553776828,114.50813453582815,22.402672392427114,0.8698291264422726
净负荷预测,测试集,完整模型,8640,352.50639495410974,512.756336524999,70.52863291176516,11.727501155539716,0.9558162957808708
