问题,策略,测试集总费用(元),测试集紧急购电量(kWh),测试集紧急购电占比(%),相对仅0点节省率(%),紧急购电削减率(%)
问题三,S0_仅0点,2836057.5586500717,76027.35671346856,1.8079782434874423,0.0,0.0
问题三,S1_增加6点,2768219.479151604,50066.70396701646,1.2137547798441066,2.3919852857555397,34.14646236392572
问题三,S2_增加12点,2707904.8649228998,42155.68287013704,1.0424104124523583,4.5186915666186644,44.55195512187393
问题三,S3_完整MPC,2782360.0825954424,49496.9905071709,1.2204482288550729,1.8933845644581573,34.8958156026457
问题四,S0_仅0点,2996913.707149793,76027.35671346856,1.8095315337897255,0.0,0.0
问题四,S1_增加6点,2928655.048646036,50104.130125144904,1.2159471423638368,2.277631763000413,34.09723513869219
问题四,S2_增加12点,2866756.227160292,42219.28220476961,1.0452547954064142,4.343050641697877,44.468301898374044
问题四,S3_完整MPC,2938200.787969493,49560.58984180345,1.2237362496522064,1.9591127712562286,34.81216237914584
